submission_id,age,attentionCheck,attentionCheckResult,comments,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,informationSource,itemName,itemNr,languages,listenerRole,listenerTyp,probs,prolific_pid,prolific_session_id,prolific_study_id,responseTime,source,trialNR
44,30,Gather data to uncover patterns in Xeliherb growth that could inform future research,true,,direct_scientist,Higher degree,206760,1731674417852,1731674211092,male,direct,spaceColony,1,English,scientist,,91,568d0641b5a2c2000cb657d0,6737405ee77fb67372825e0f,67373c1dff5d8c820f450e62,108988,,0
45,22,Ensure that there is a steady supply of Xeliherb to meet daily survival needs,true,Interesting survey,direct_colonist,Higher degree,136728,1731674440035,1731674303307,male,direct,spaceColony,3,English,colonist,,80,662fa014fd36bb7b70097c24,673740b4aceb9e06c5ccccea,67373c1dff5d8c820f450e62,67415,,0
46,47,Gather data to uncover patterns in Xeliherb growth that could inform future research,true,,direct_scientist,Higher degree,306472,1731674453561,1731674147089,male,direct,spaceColony,1,English,scientist,,92,6554cfc335ac9ff968a5f162,67373fedcf3e3a0cb79b29fc,67373c1dff5d8c820f450e62,238960,,0
47,29,Gather data to uncover patterns in Xeliherb growth that could inform future research,true,,direct_scientist,Graduated College,189325,1731674460366,1731674271041,male,direct,spaceColony,1,"english, japanese",scientist,,79,5d7f74f4ed58b60016490887,67374071f852ab52f5b5af50,67373c1dff5d8c820f450e62,132840,,0
48,46,Gather data to uncover patterns in Xeliherb growth that could inform future research,true,None,direct_scientist,Graduated College,179794,1731674485554,1731674305760,male,direct,spaceColony,1,English,scientist,,100,6661734a551b4354f952cd57,673740af0b7cebfefd3e85fc,67373c1dff5d8c820f450e62,78824,,0
49,24,Gather data to uncover patterns in Xeliherb growth that could inform future research,true,,direct_scientist,Graduated High-school,115060,1731674501310,1731674386250,female,direct,spaceColony,1,English,scientist,,52,5f8375aef397bf12ad765a62,67373f9ace8dec57ac9fcbbd,67373c1dff5d8c820f450e62,53554,,0
50,38,Ensure that there is a steady supply of Xeliherb to meet daily survival needs,true,,direct_colonist,Graduated College,177975,1731674518247,1731674340272,female,direct,spaceColony,3,english,colonist,,100,5ffcf2992e58f31b272ab721,673740aa4860c94a523f131f,67373c1dff5d8c820f450e62,63445,,0
51,55,Ensure that there is a steady supply of Xeliherb to meet daily survival needs,true,,direct_colonist,Higher degree,435195,1731674646569,1731674211374,female,direct,spaceColony,3,English,colonist,,66,5713cc324cfd6f0009aa7329,673740543a11eec3de007729,67373c1dff5d8c820f450e62,77116,,0
52,29,Ensure that there is a steady supply of Xeliherb to meet daily survival needs,true,,direct_colonist,Graduated College,299893,1731674646822,1731674346929,female,indirect,spaceColony,4,"English , IsiZulu",colonist,,61,5fb57363656d5607d4a94149,673740b5556763cc6f01579d,67373c1dff5d8c820f450e62,139704,,0
53,78,Ensure that there is a steady supply of Xeliherb to meet daily survival needs,true,,direct_colonist,Graduated High-school,355294,1731674647938,1731674292644,female,indirect,spaceColony,4,English,colonist,,50,60b94f837bfda8b1977feef0,673740994649b52eeff1f7af,67373c1dff5d8c820f450e62,137400,,0
54,23,Ensure that there is a steady supply of Xeliherb to meet daily survival needs,true,,direct_colonist,Graduated High-school,187239,1731674891503,1731674704264,female,direct,spaceColony,3,English,colonist,,99,606dea112436631b694c56ad,6737422ccf5b84eaeaf6fba6,67373c1dff5d8c820f450e62,88100,,0
55,39,Gather data to uncover patterns in Xeliherb growth that could inform future research,true,,indirect_scientist,Higher degree,815226,1731675079403,1731674264177,female,indirect,spaceColony,2,Xhosa,scientist,,89,5fa4faf94527261b54915c03,6737408881a9922c5bb08ec6,67373c1dff5d8c820f450e62,21900,,0
