submission_id,age,comments,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,itemNr,justification,languages,prolific_pid,prolific_session_id,prolific_study_id,reproClass,reproduction,response,responseTime,trialNR
4371,20,,association,Graduated High-school,132313,1665896123915,1665895991602,male,spaceColony,1,"Xeliherb is an essential resource for survival, so it should be produced at high yield at whatever cost associated.",English,602ca79ed37c265997f1688f,634b8e32206255f569c33464,62e8e1ca5c8e225c556e0af8,,NA,NA,29153,1
4371,20,,association,Graduated High-school,132313,1665896123915,1665895991602,male,spaceColony,1,NA,English,602ca79ed37c265997f1688f,634b8e32206255f569c33464,62e8e1ca5c8e225c556e0af8,causal,Xeliherb can be harvested at a higher yield when grown with ralocrop.,NA,50732,2
4370,29,,association,Higher degree,94821,1665896085309,1665895990488,male,spaceColony,1,NA,"English, Spanish",5e5441dd8388f807991fb4a7,634b8e32c78abddb5f8bb91d,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,41705,0
4370,29,,association,Higher degree,94821,1665896085309,1665895990488,male,spaceColony,1,More yield,"English, Spanish",5e5441dd8388f807991fb4a7,634b8e32c78abddb5f8bb91d,62e8e1ca5c8e225c556e0af8,,NA,NA,10280,1
4370,29,,association,Higher degree,94821,1665896085309,1665895990488,male,spaceColony,1,NA,"English, Spanish",5e5441dd8388f807991fb4a7,634b8e32c78abddb5f8bb91d,62e8e1ca5c8e225c556e0af8,neutral,Xeliherb yield is greatly increased in the presence of ralocrop.,NA,31505,2
4377,35,,association,Graduated High-school,313849,1665896786663,1665896472814,male,spaceColony,1,NA,English,631659ad8e5354f16aef7249,634b9011fd5a3533ea9729b3,62e8e1ca5c8e225c556e0af8,,NA,only xeliherb,83095,0
4377,35,,association,Graduated High-school,313849,1665896786663,1665896472814,male,spaceColony,1,Because it is more vital for my teams survival. I don't want to waste extra resources on a plant that isn't needed.,English,631659ad8e5354f16aef7249,634b9011fd5a3533ea9729b3,62e8e1ca5c8e225c556e0af8,,NA,NA,35912,1
4377,35,,association,Graduated High-school,313849,1665896786663,1665896472814,male,spaceColony,1,NA,English,631659ad8e5354f16aef7249,634b9011fd5a3533ea9729b3,62e8e1ca5c8e225c556e0af8,none,Ralocrop costs significantly more resources to cultivate than xeliherb. Ralocrop grows throughout the galaxy but xeliherb only grows on the planet you're on.,NA,175894,2
4365,57,I want to go I'll be a farmer lol,association,Graduated High-school,598160,1665895800984,1665895202824,female,spaceColony,1,NA,english,5f0f9dd625153217f188084b,634b8b15eb5b67c23ec3346e,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,115378,0
4365,57,I want to go I'll be a farmer lol,association,Graduated High-school,598160,1665895800984,1665895202824,female,spaceColony,1,"As long as conditions were good and didn't lack water area than would plant both,  but to start only the one,  if all's good than the other.",english,5f0f9dd625153217f188084b,634b8b15eb5b67c23ec3346e,62e8e1ca5c8e225c556e0af8,,NA,NA,176044,1
4365,57,I want to go I'll be a farmer lol,association,Graduated High-school,598160,1665895800984,1665895202824,female,spaceColony,1,NA,english,5f0f9dd625153217f188084b,634b8b15eb5b67c23ec3346e,62e8e1ca5c8e225c556e0af8,none,To survive on planet must have a large supply of xeliherb seeds,NA,211099,2
4386,41,,association,Graduated High-school,258785,1665896992484,1665896733699,male,spaceColony,1,NA,English,62fd65d2cb867728e4015273,634b91187ab051636d6f56e0,62e8e1ca5c8e225c556e0af8,,NA,only xeliherb,102829,0
4386,41,,association,Graduated High-school,258785,1665896992484,1665896733699,male,spaceColony,1,Id choose only xeliberb because it is required for survival.  Ralocrop is not (according to the known information) and is costly to grow on top of that.,English,62fd65d2cb867728e4015273,634b91187ab051636d6f56e0,62e8e1ca5c8e225c556e0af8,,NA,NA,68066,1
4386,41,,association,Graduated High-school,258785,1665896992484,1665896733699,male,spaceColony,1,NA,English,62fd65d2cb867728e4015273,634b91187ab051636d6f56e0,62e8e1ca5c8e225c556e0af8,neutral,Ralocrop was discovered growing with xeliherb,NA,53270,2
4387,31,Would love to know what this is about,association,Graduated College,285005,1665897004970,1665896719965,male,spaceColony,1,NA,English,6318ed962c89e72710559631,634b910f16ac294ea0343258,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,101696,0
4387,31,Would love to know what this is about,association,Graduated College,285005,1665897004970,1665896719965,male,spaceColony,1,"I assume the science team would not give such a terse report without reason, as a spurious correlation (e.g. farms with more resources can grow more of anything) wouldn't be worth reporting on as a scientist.",English,6318ed962c89e72710559631,634b910f16ac294ea0343258,62e8e1ca5c8e225c556e0af8,,NA,NA,99273,1
4387,31,Would love to know what this is about,association,Graduated College,285005,1665897004970,1665896719965,male,spaceColony,1,NA,English,6318ed962c89e72710559631,634b910f16ac294ea0343258,62e8e1ca5c8e225c556e0af8,neutral,High yield of xeliherb is associated with the presence of ralocrop.,NA,55718,2
4392,58,None,association,Higher degree,648646,1665897392965,1665896744319,male,spaceColony,1,NA,English,5e059d2bb1fb05fd1f841142,634b9123417f0df2a9fc4613,62e8e1ca5c8e225c556e0af8,,NA,only xeliherb,264192,0
4392,58,None,association,Higher degree,648646,1665897392965,1665896744319,male,spaceColony,1,Ralocrop is expensive to cultivate and it's already available in the universe. It makes sense to focus on xeliherb.,English,5e059d2bb1fb05fd1f841142,634b9123417f0df2a9fc4613,62e8e1ca5c8e225c556e0af8,,NA,NA,163377,1
4392,58,None,association,Higher degree,648646,1665897392965,1665896744319,male,spaceColony,1,NA,English,5e059d2bb1fb05fd1f841142,634b9123417f0df2a9fc4613,62e8e1ca5c8e225c556e0af8,neutral,Ralocrop yields xeliherb.,NA,172384,2
4376,22,,association,Graduated High-school,157280,1665896766788,1665896609508,male,spaceColony,1,NA,English,62866264394aea9d61adb089,634b909a52069056d1577546,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,37542,0
4376,22,,association,Graduated High-school,157280,1665896766788,1665896609508,male,spaceColony,1,"Although ralocrop comes at a cost of more resource usage, cultivating both would eventually lead to a plentiful supply of xeliherb.",English,62866264394aea9d61adb089,634b909a52069056d1577546,62e8e1ca5c8e225c556e0af8,,NA,NA,49554,1
4376,22,,association,Graduated High-school,157280,1665896766788,1665896609508,male,spaceColony,1,NA,English,62866264394aea9d61adb089,634b909a52069056d1577546,62e8e1ca5c8e225c556e0af8,none,"The science team reported that xeliherb is important to cultivate, but did not explicitly mention ralocrop.",NA,48476,2
4379,24,,association,Graduated College,408359,1665896898676,1665896490317,male,spaceColony,1,NA,English,63127690860023ab6b50a0b2,634b901ec383333dd1d77ee0,62e8e1ca5c8e225c556e0af8,,NA,only xeliherb,188540,0
4379,24,,association,Graduated College,408359,1665896898676,1665896490317,male,spaceColony,1,Because the other herb was costly to cultivate.,English,63127690860023ab6b50a0b2,634b901ec383333dd1d77ee0,62e8e1ca5c8e225c556e0af8,,NA,NA,31966,1
4379,24,,association,Graduated College,408359,1665896898676,1665896490317,male,spaceColony,1,NA,English,63127690860023ab6b50a0b2,634b901ec383333dd1d77ee0,62e8e1ca5c8e225c556e0af8,none,"Ralocrop is another plant, not exclusive to the planet and is well-known throughout the galaxy. Cultivation of the crop is costly both in water and energy resources.",NA,168212,2
4385,33,,association,Graduated High-school,204023,1665896952931,1665896748908,male,spaceColony,1,NA,English,5cb489ff0cd1ed0017465d19,634b90c7eb5b67c23ec33493,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,66312,0
4385,33,,association,Graduated High-school,204023,1665896952931,1665896748908,male,spaceColony,1,"Because it seems that in the end it would be better. Even though it has a cost when it comes to resources to grow ralocrop, I believe that the increased yeilds would balance out for the better in the end.",English,5cb489ff0cd1ed0017465d19,634b90c7eb5b67c23ec33493,62e8e1ca5c8e225c556e0af8,,NA,NA,49046,1
4385,33,,association,Graduated High-school,204023,1665896952931,1665896748908,male,spaceColony,1,NA,English,5cb489ff0cd1ed0017465d19,634b90c7eb5b67c23ec33493,62e8e1ca5c8e225c556e0af8,causal,It seems that xehliherb thrives with the addition of ralocrop.,NA,72158,2
4367,49,None,association,Higher degree,376552,1665895822182,1665895445630,female,spaceColony,1,NA,English,6142956741a96afc95ffffd7,634b8c0f9c06cc4c15603182,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,84295,0
4367,49,None,association,Higher degree,376552,1665895822182,1665895445630,female,spaceColony,1,"I would grow both to ensure survival, since it is expensive but provides ample quantity via ralocrop.  With xeliherb, my eggs are all in one limited basket. Diversifying supply chain is important.  That being said, I would likely grow as much xeliherb as possible.",English,6142956741a96afc95ffffd7,634b8c0f9c06cc4c15603182,62e8e1ca5c8e225c556e0af8,,NA,NA,144738,1
4367,49,None,association,Higher degree,376552,1665895822182,1665895445630,female,spaceColony,1,NA,English,6142956741a96afc95ffffd7,634b8c0f9c06cc4c15603182,62e8e1ca5c8e225c556e0af8,neutral,"If Ralocrop is present, there's a high yield of Xeliherb.",NA,114344,2
4369,40,None,association,Graduated High-school,284725,1665896019899,1665895735174,female,spaceColony,1,NA,English,589da9a89a17120001d90a4e,634b8d33c78abddb5f8bb913,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,67107,0
4369,40,None,association,Graduated High-school,284725,1665896019899,1665895735174,female,spaceColony,1,Because obtaining xeliherb would be more efficient if cultivating ralocrop too.,English,589da9a89a17120001d90a4e,634b8d33c78abddb5f8bb913,62e8e1ca5c8e225c556e0af8,,NA,NA,111395,1
4369,40,None,association,Graduated High-school,284725,1665896019899,1665895735174,female,spaceColony,1,NA,English,589da9a89a17120001d90a4e,634b8d33c78abddb5f8bb913,62e8e1ca5c8e225c556e0af8,neutral,A high harvest of Xeliherb is associated with the presence of ralocrop.,NA,69205,2
4378,,,association,,155345,1665896846757,1665896691412,,spaceColony,1,NA,,6317ff092d6b47344b7d1ec5,634b90e7e3de4257fb2e427d,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,65292,0
4378,,,association,,155345,1665896846757,1665896691412,,spaceColony,1,"I would cultivate both as though it's more costly to include ralocrop, it is associated with a high yield of xeliherb.",,6317ff092d6b47344b7d1ec5,634b90e7e3de4257fb2e427d,62e8e1ca5c8e225c556e0af8,,NA,NA,36430,1
4378,,,association,,155345,1665896846757,1665896691412,,spaceColony,1,NA,,6317ff092d6b47344b7d1ec5,634b90e7e3de4257fb2e427d,62e8e1ca5c8e225c556e0af8,neutral,Ralocrop is associated with a high yield of xeliherb.,NA,44268,2
4389,61,,association,Graduated College,558592,1665897184030,1665896625438,male,spaceColony,1,NA,english,5ee4b29de1640f1bc85da97b,634b90b99c06cc4c15603198,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,176033,0
4389,61,,association,Graduated College,558592,1665897184030,1665896625438,male,spaceColony,1,The evidence available indicates that xeliherb prospers in the presence of ralocrop.,english,5ee4b29de1640f1bc85da97b,634b90b99c06cc4c15603198,62e8e1ca5c8e225c556e0af8,,NA,NA,96075,1
4389,61,,association,Graduated College,558592,1665897184030,1665896625438,male,spaceColony,1,NA,english,5ee4b29de1640f1bc85da97b,634b90b99c06cc4c15603198,62e8e1ca5c8e225c556e0af8,neutral,The promoted growth of xeliherb is associated with the presence of ralocrop.,NA,221797,2
4364,51,,association,Graduated High-school,241951,1665895609132,1665895367181,female,spaceColony,1,NA,English,6101c2aaf8555a745cfb472b,634b8c6e1c38bb5422d77ec6,62e8e1ca5c8e225c556e0af8,,NA,only xeliherb,89013,0
4364,51,,association,Graduated High-school,241951,1665895609132,1665895367181,female,spaceColony,1,better to be safe,English,6101c2aaf8555a745cfb472b,634b8c6e1c38bb5422d77ec6,62e8e1ca5c8e225c556e0af8,,NA,NA,25564,1
4364,51,,association,Graduated High-school,241951,1665895609132,1665895367181,female,spaceColony,1,NA,English,6101c2aaf8555a745cfb472b,634b8c6e1c38bb5422d77ec6,62e8e1ca5c8e225c556e0af8,none,there are conditions and technical problems,NA,94731,2
4366,65,,association,Graduated College,481101,1665895809620,1665895328519,male,spaceColony,1,NA,English,6163abe84640981d685a57f2,634b8b9589d566b4802d56b8,62e8e1ca5c8e225c556e0af8,,NA,only xeliherb,87861,0
4366,65,,association,Graduated College,481101,1665895809620,1665895328519,male,spaceColony,1,"I am a little concerned that the science team is not communicating.  It would be best to expend the fewest resources consistent with sustaining life until we have determined whether there is some previously unknown danger present on the planet, and if so, what the nature of the danger is.  We can always transition to growing both crops as soon as more is known about the planet.",English,6163abe84640981d685a57f2,634b8b9589d566b4802d56b8,62e8e1ca5c8e225c556e0af8,,NA,NA,225628,1
4366,65,,association,Graduated College,481101,1665895809620,1665895328519,male,spaceColony,1,NA,English,6163abe84640981d685a57f2,634b8b9589d566b4802d56b8,62e8e1ca5c8e225c556e0af8,neutral,A more abundant crop of xeliherb is associated with the proximity of ralocrop.,NA,86077,2
4374,30,,association,Higher degree,167286,1665896372699,1665896205413,female,spaceColony,1,NA,English,558b7506fdf99b21155f2bd7,634b8f08ad81c50613343247,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,56208,0
4374,30,,association,Higher degree,167286,1665896372699,1665896205413,female,spaceColony,1,I chose to plant both since the science team reported high yields are associated with ralocrop and I need the seeds to survive.,English,558b7506fdf99b21155f2bd7,634b8f08ad81c50613343247,62e8e1ca5c8e225c556e0af8,,NA,NA,35050,1
4374,30,,association,Higher degree,167286,1665896372699,1665896205413,female,spaceColony,1,NA,English,558b7506fdf99b21155f2bd7,634b8f08ad81c50613343247,62e8e1ca5c8e225c556e0af8,neutral,High yields of xeliherb are associated with the presence of ralocrop,NA,53738,2
4383,36,,association,Graduated High-school,147350,1665896935765,1665896788415,female,spaceColony,1,NA,English,5e0047b3a99550c62bda2dd6,634b9151fe338583daa5c262,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,63406,0
4383,36,,association,Graduated High-school,147350,1665896935765,1665896788415,female,spaceColony,1,Because it seems as though it will grow well will with the herb.,English,5e0047b3a99550c62bda2dd6,634b9151fe338583daa5c262,62e8e1ca5c8e225c556e0af8,,NA,NA,23951,1
4383,36,,association,Graduated High-school,147350,1665896935765,1665896788415,female,spaceColony,1,NA,English,5e0047b3a99550c62bda2dd6,634b9151fe338583daa5c262,62e8e1ca5c8e225c556e0af8,causal,Science says there is a high yield of Xeliherb with ralocrop,NA,36114,2
4372,57,,association,Graduated High-school,368689,1665896219872,1665895851183,female,spaceColony,1,NA,english,5f0f9dd625153217f188084b,634b8b15eb5b67c23ec3346e,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,59204,0
4372,57,,association,Graduated High-school,368689,1665896219872,1665895851183,female,spaceColony,1,Both if conditions are good for both,english,5f0f9dd625153217f188084b,634b8b15eb5b67c23ec3346e,62e8e1ca5c8e225c556e0af8,,NA,NA,47323,1
4372,57,,association,Graduated High-school,368689,1665896219872,1665895851183,female,spaceColony,1,NA,english,5f0f9dd625153217f188084b,634b8b15eb5b67c23ec3346e,62e8e1ca5c8e225c556e0af8,none,Science team warned that to survive on the planet must have large secured stash of xeliherb seeds. So collect seeds build a storage for the seeds,NA,217134,2
4373,50,,association,Graduated High-school,100173,1665896222043,1665896121870,female,spaceColony,1,NA,ENglish,57272517e386b9000e3e2b72,634b8eb584dc66ed75577549,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,12038,0
4373,50,,association,Graduated High-school,100173,1665896222043,1665896121870,female,spaceColony,1,"Because ralocrop increases the yield of xeliherb. While it is available elsewhere, why spend to purchase what can be grown?",ENglish,57272517e386b9000e3e2b72,634b8eb584dc66ed75577549,62e8e1ca5c8e225c556e0af8,,NA,NA,33043,1
4373,50,,association,Graduated High-school,100173,1665896222043,1665896121870,female,spaceColony,1,NA,ENglish,57272517e386b9000e3e2b72,634b8eb584dc66ed75577549,62e8e1ca5c8e225c556e0af8,causal,Ralocrop increases xeliherb yields,NA,27544,2
4384,43,,association,Graduated College,319361,1665896938436,1665896619075,male,spaceColony,1,NA,English,5f13b19f870c8b3cccba516a,634b90a1a4bdd4d99a7b155a,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,101740,0
4384,43,,association,Graduated College,319361,1665896938436,1665896619075,male,spaceColony,1,"Because according to the science team ralocrop makes the xeliherb grow more abundantly, so to get as much xeliherb as possible, it makes sense to have ralocrop as well.",English,5f13b19f870c8b3cccba516a,634b90a1a4bdd4d99a7b155a,62e8e1ca5c8e225c556e0af8,,NA,NA,93145,1
4384,43,,association,Graduated College,319361,1665896938436,1665896619075,male,spaceColony,1,NA,English,5f13b19f870c8b3cccba516a,634b90a1a4bdd4d99a7b155a,62e8e1ca5c8e225c556e0af8,causal,The presence of ralocrop leads to higher yield of xeliherb according to our science team.,NA,97362,2
4390,33,Cool study!,association,Graduated College,607270,1665897225125,1665896617855,male,spaceColony,1,NA,English,6119f072d0cc4321ea520759,634b90a69127767c0902f135,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,474273,0
4390,33,Cool study!,association,Graduated College,607270,1665897225125,1665896617855,male,spaceColony,1,They are both super useful and impactful and it would benefit us all to cultivate both.,English,6119f072d0cc4321ea520759,634b90a69127767c0902f135,62e8e1ca5c8e225c556e0af8,,NA,NA,57209,1
4390,33,Cool study!,association,Graduated College,607270,1665897225125,1665896617855,male,spaceColony,1,NA,English,6119f072d0cc4321ea520759,634b90a69127767c0902f135,62e8e1ca5c8e225c556e0af8,neutral,A high yield of xeliherb is associated with the presence of ralocrop.,NA,59317,2
4380,27,,association,Graduated College,235315,1665896895224,1665896659909,male,spaceColony,1,NA,English,6328c0dfbd41cab5fd68fb6c,634b90ce0c21b6baad6a6d2d,62e8e1ca5c8e225c556e0af8,,NA,only xeliherb,86481,0
4380,27,,association,Graduated College,235315,1665896895224,1665896659909,male,spaceColony,1,"Water seems more important than food. You can live longer without food, so I think preserving water is more important.",English,6328c0dfbd41cab5fd68fb6c,634b90ce0c21b6baad6a6d2d,62e8e1ca5c8e225c556e0af8,,NA,NA,34147,1
4380,27,,association,Graduated College,235315,1665896895224,1665896659909,male,spaceColony,1,NA,English,6328c0dfbd41cab5fd68fb6c,634b90ce0c21b6baad6a6d2d,62e8e1ca5c8e225c556e0af8,neutral,The presence of ralocrop is associated with a high yield of xeliherb.,NA,95920,2
4391,38,,association,Higher degree,706585,1665897324129,1665896617544,male,spaceColony,1,NA,English,5d0d16d991270800010b7dd7,634b908c5286bf00918bb941,62e8e1ca5c8e225c556e0af8,,NA,only xeliherb,286119,0
4391,38,,association,Higher degree,706585,1665897324129,1665896617544,male,spaceColony,1,Ralocrop cultivation is quite expensive and that implies a huge sacrifice of resources,English,5d0d16d991270800010b7dd7,634b908c5286bf00918bb941,62e8e1ca5c8e225c556e0af8,,NA,NA,295864,1
4391,38,,association,Higher degree,706585,1665897324129,1665896617544,male,spaceColony,1,NA,English,5d0d16d991270800010b7dd7,634b908c5286bf00918bb941,62e8e1ca5c8e225c556e0af8,none,give priority to the cultivation of xeliherb since it is the best in terms of production costs,NA,61613,2
4381,29,,association,Higher degree,135607,1665896923311,1665896787704,male,spaceColony,1,NA,English,631a86423e963504fd64b7d4,634b914efe338583daa5c261,62e8e1ca5c8e225c556e0af8,,NA,only xeliherb,44644,0
4381,29,,association,Higher degree,135607,1665896923311,1665896787704,male,spaceColony,1,It seemed like the logical thing to do to ensure survival?,English,631a86423e963504fd64b7d4,634b914efe338583daa5c261,62e8e1ca5c8e225c556e0af8,,NA,NA,22716,1
4381,29,,association,Higher degree,135607,1665896923311,1665896787704,male,spaceColony,1,NA,English,631a86423e963504fd64b7d4,634b914efe338583daa5c261,62e8e1ca5c8e225c556e0af8,neutral,There is a higher yield of xeliherb in the presence of ralocrop,NA,46647,2
4382,27,"At one point, the planet is mistakenly referred to as Xeliherb-3. There are also a few other spelling errors, etc.",association,Graduated College,316376,1665896931094,1665896614718,male,spaceColony,1,NA,English,632ea886a196ee386d077de0,634b909efd5a3533ea9729bb,62e8e1ca5c8e225c556e0af8,,NA,only xeliherb,82560,0
4382,27,"At one point, the planet is mistakenly referred to as Xeliherb-3. There are also a few other spelling errors, etc.",association,Graduated College,316376,1665896931094,1665896614718,male,spaceColony,1,"Considering Ralocrop is well known and a resource already available that would take away needed resources and time to cultivate and the fact that mission control has reported only the necessity of xeliherb in order to survive, I would cultivate xeliherb exclusively for the time being as that is the highest priority.",English,632ea886a196ee386d077de0,634b909efd5a3533ea9729bb,62e8e1ca5c8e225c556e0af8,,NA,NA,85631,1
4382,27,"At one point, the planet is mistakenly referred to as Xeliherb-3. There are also a few other spelling errors, etc.",association,Graduated College,316376,1665896931094,1665896614718,male,spaceColony,1,NA,English,632ea886a196ee386d077de0,634b909efd5a3533ea9729bb,62e8e1ca5c8e225c556e0af8,neutral,The cultivation of xeliherb on the planet is associated with a high presence of ralocrop.,NA,94476,2
4388,56,,association,Higher degree,378550,1665897020286,1665896641736,female,spaceColony,1,NA,English,567dd32b4f0ef30006dbb718,634b90b9f551752b22cc3ec9,62e8e1ca5c8e225c556e0af8,,NA,only xeliherb,138397,0
4388,56,,association,Higher degree,378550,1665897020286,1665896641736,female,spaceColony,1,"Because it's the one needed for survival.  That, and the other one enhances the growth of xeliherb, so it would be best to leave it intact.",English,567dd32b4f0ef30006dbb718,634b90b9f551752b22cc3ec9,62e8e1ca5c8e225c556e0af8,,NA,NA,71227,1
4388,56,,association,Higher degree,378550,1665897020286,1665896641736,female,spaceColony,1,NA,English,567dd32b4f0ef30006dbb718,634b90b9f551752b22cc3ec9,62e8e1ca5c8e225c556e0af8,causal,The existence of ralocrop enhances the growth and availability of xeliherb.,NA,108956,2
4393,29,,association,Higher degree,146884,1665897524709,1665897377825,male,spaceColony,1,NA,English,628eada3a9c9e0776884f27d,634b939b919bd6d5ab2f0e69,62e8e1ca5c8e225c556e0af8,,NA,only xeliherb,39992,0
4393,29,,association,Higher degree,146884,1665897524709,1665897377825,male,spaceColony,1,It was only an association/correlation. Ralicon does not necessarily cause a high yield of xeliherb and it is costly.,English,628eada3a9c9e0776884f27d,634b939b919bd6d5ab2f0e69,62e8e1ca5c8e225c556e0af8,,NA,NA,45741,1
4393,29,,association,Higher degree,146884,1665897524709,1665897377825,male,spaceColony,1,NA,English,628eada3a9c9e0776884f27d,634b939b919bd6d5ab2f0e69,62e8e1ca5c8e225c556e0af8,neutral,High yield of xeliherb is associated with the presence of ralocrop.,NA,49944,2
